index,id,keyword,location,text,target,label
5550,7916,rainstorm,,#DnB #NewRelease EDGE Jimmy - Summer Rainstorm (Lapaka Sounds) http://t.co/4L8h2FKlNO via http://t.co/ZITQKDFXJY,0,0
6415,9173,suicide%20bomber,,http://t.co/9k1tqsAarM Suicide bomber kills 15 in Saudi security site mosque - Reuters http://t.co/Ev3nX9scx3,1,1
5722,8165,rescuers,,Last Second Ebay Bid RT? http://t.co/oEKUcq4ZL0 Shaolin Rescuers (dvd 2010) Shen Chan Nan Chiang Five Venoms Kung Fu ?Please Favori,0,0
5071,7229,natural%20disaster,"Suburban Detroit, Michigan",We have overrun a Natural Disaster Survival server!,1,1
4274,6072,heat%20wave,"Oklahoma City, OK",Longest Streak of Triple-Digit Heat Since 2013 Forecast in Dallas: An unrelenting and dangerous heat wave will... http://t.co/s4Srgrmqcz,1,1
1035,1501,body%20bags,Swaning Around,US Û÷Institute Of PeaceÛª Chairman Wants Russian Body Bags http://t.co/owbUjez3q4,0,0
4316,6128,hellfire,"Denver, Colorado",@MechaMacGyver Wow bet you got blamed for that too huh?,0,0
2077,2983,dead,"Sochi, KDA, RU",@hlportal Hello! I'm looking for mod Cold Ice. I saw it on your site but link to download dead. Maybe you have it and share with me? Thanks.,0,0
3899,5545,flattened,Le Memenet,@KainYusanagi @Grummz @PixelCanuck and flattened raynor.  Raynor was a balding imperfect biker marine not a emo generic western hero.,0,0
3974,5650,flooding,Global-NoLocation,#flood #disaster Burst Water Pipe Floods Apartments at NYCHA Senior Center - NY1: NY1Burst Water Pipe Floods A... http://t.co/w7SIIdujOH,1,1
7050,10101,typhoon,The Peach State,I think a Typhoon just passed through here lol,1,1
3383,4845,evacuation,"sydney, australia",my school just put the evacuation alarms on accidently with 2 different trial exams happening are you kidding me,0,0
7562,10811,wrecked,,you wrecked my whole world,0,0
2088,3001,dead,Milton Keynes ,Can't believe Ross is dead???????? @emmerdale @MikeParrActor #Emmerdale #summerfate,0,0
6011,8584,screams,5-Feb,When you go to a concert and someone screams in your ear... Does it look like I wanna loose my hearing anytime soon???,1,1
2295,3292,demolish,,I have completed the quest 'Demolish 5 Murlo...' in the #Android game The Tribez.  http://t.co/pBclFsXRld #androidgames #gameinsight,0,0
4745,6749,lightning,,Thunder and lightning possible in the Pinpoint Foothill Forecast. http://t.co/CtIjdPXABk,1,1
16,24,,,I love fruits,0,0
6596,9448,terrorism,,@RobPulseNews @huyovoeTripolye Phillips should be charged for assisting terrorism. LDNR-terrorists' organizations. http://t.co/XwnJYsV9V9,1,1
514,740,attacked,"SÌ£o Paulo SP,  Brasil",Christian Attacked by Muslims at the Temple Mount after Waving Israeli Flag via Pamela Geller - ... http://t.co/e4wK8Uri8A,1,1
2551,3659,destroy,,"ng2x5 mhtw4fnet

Watch Michael Jordan absolutely destroy this meme-baiting camper - FOXSportscom",0,0
6184,8829,sirens,,@iK4LEN Sirens was cancelled.,0,0
7359,10536,windstorm,,Windstorm lastingness perquisite - acquiesce in a twister retreat: ZiUW http://t.co/iRt4kkgsJx,1,1
927,1343,blown%20up,Georgia,Man why hasn't @machinegunkelly blown up? He's still underground.,0,0
7238,10366,weapons,??????,#Battlefield 1942 forgotten hope secret weapons,1,1
88,130,accident,"Manchester, NH",Accident left lane blocked in #Manchester on Rt 293 NB before Eddy Rd stop and go traffic back to NH-3A delay of 4 mins #traffic,1,1
4374,6215,hijacker,,Governor allows parole for California school bus hijacker: Local... http://t.co/tAM6aoskoJ http://t.co/eL24mnFcHw,1,1
5922,8454,screamed,ljp/4,THE GIRLS NEXT TO ME SCREAMED WHAT THE FUCK IS A CHONCE I'm CRYIBG,0,0
6834,9788,trapped,å_å_Los Mina Cityã¢,Hollywood Movie About Trapped Miners Released in Chile: 'The 33' Hollywood movie about trapped miners starring... http://t.co/x8moYeVjsJ,0,0
5842,8348,ruin,London / Birmingham,Im so anxious though because so many ppl will me watching me meet them and that makes me uncomfortable BUT I CANT LET THAT RUIN THE MOMENT,0,0
2039,2927,danger,Spinning through time.,@riverroaming 'And not too much danger please.',0,0
2942,4230,drowned,,Thank you Uplifting spirit. When Im drowned you've been an anchor,0,0
523,755,avalanche,Ireland,A little piece I wrote for the Avalanche Designs blog! I'd appreciate it greatly if you checked it out :-)  https://t.co/rfvjh58eF2,0,0
6432,9203,suicide%20bombing,,&lt; 25 Dead In Kuwait Mosque Suicide Bombing Claimed By ISIS Offshoot on http://t.co/eTITgPSrUN,1,1
925,1340,blown%20up,USA,@troylercraft YEAH ITS NOT WORTH IT BC HE ALREADY HAS SO MANY SPAMMERS &amp; HIS TWITTER IS PROBABLY BLOWN UP EVERY SECOND,0,0
587,848,bioterror,iTunes,#world FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps  http://t.co/wvExJjRG6E,1,1
3661,5211,fatality,"Lowell, MA",@EBROINTHEAM jay....big L....pun....biggie...wrap over...zero question....fatality...flawless victory http://t.co/Y33QcKq7qD,0,0
6503,9297,survive,United States,AHH forgot my headphones how am I supposed to survive a day without music AYHHHHHDJJFJRJJRDJJEKS,0,0
5120,7301,nuclear%20reactor,"USA, North Dakota",Salem 2 nuclear reactor shut down over electrical circuit failure on pump: The Salem 2 nuclear reactor had bee... http://t.co/5hkGXzJLmX,1,1
7541,10782,wreckage,"New Delhi,India",Wreckage 'Conclusively Confirmed' as From MH370: Malaysia PM: Investigators and the families of those who were... http://t.co/1YIxFG1Hdy,1,1
4779,6800,loud%20bang,Kenya,tkyonly1fmk: Breaking news! Unconfirmed! I just heard a loud bang nearby. in what appears to be a blast of wind from my neighbour's ass.,0,0
2342,3369,demolition,,#download &amp; #watch Demolition Frog (2002) http://t.co/81nEizeknm #movie,1,1
7526,10764,wreckage,"Dublin City, Ireland",Wreckage 'Conclusively Confirmed' as From MH370: Malaysia PM: Investigators and the families of those who were... http://t.co/VAZpG0ftmU,1,1
2614,3752,destruction,,Crackdown 3 Destruction Restricted to Multiplayer: Crackdown 3 impressed earlier this week with a demonstratio... http://t.co/LMWKjsYCgj,0,0
2638,3786,destruction,Jersey,That's the ultimate road to destruction,0,0
963,1393,body%20bag,,new summer long thin body bag hip A word skirt Blue http://t.co/lvKoEMsq8m http://t.co/CjiRhHh4vj,0,0
383,552,arson,"Charlotte, NC",Add Familia to the arson squad.,0,0
4522,6425,hurricane,,Stream HYPE HURRICANE,0,0
2049,2941,danger,Instagram: trillrebel_,"Guns are for protection.. 
That shit really shouldn't be used unless your life in danger",0,0
7532,10770,wreckage,iTunes,#science Now that a piece of wreckage from flight MH370 has been confirmed on RÌ©union Island is it possible t...  http://t.co/Z2vDGIyOwf,1,1
5345,7630,pandemonium,illinois. united state ,Pandemonium In Aba As Woman Delivers Baby Without Face (Photos) @... http://t.co/JbxBi93CLu,0,0
1342,1940,burning%20buildings,,Hero's fight wars and save ppl from burning buildings etc I'm sorry but u gotta do more than pay 4 a sex change be4 I call u a hero,0,0
